ADDR_IDX,ADDR_TYPE,STD_ADDR_PRIM_TYPE
528,key,Key
529,lane,Lane
530,lnwy,Laneway
531,line,Line
532,link,Link
533,lkt,Lookout
534,loop,Loop
535,mall,Mall
536,mndr,Meander
537,mews,Mews
538,mtwy,Motorway
539,nook,Nook
540,otlk,Outlook
541,pde,Parade
542,pwy,Parkway
543,pass,Pass
544,psge,Passage
545,path,Path
546,pway,Pathway
547,piaz,Piazza
548,plza,Plaza
549,pkt,Pocket
550,pnt,Point
551,port,Port
552,prom,Promenade
553,qdrt,Quadrant
554,qys,Quays
555,rmbl,Ramble
556,rest,Rest
557,rtt,Retreat
558,rdge,Ridge
559,rise,Rise
560,rd,Road
561,rty,Rotary
562,rte,Route
563,row,Row
564,rue,Rue
565,svwy,Serviceway
566,shun,Shunt
567,spur,Spur
568,sq,Square
569,st,Street
570,sbwy,Subway
571,tarn,Tarn
572,tce,Terrace
573,thfr,Thoroughfare
574,tlwy,Tollway
575,top,Top
576,tor,Tor
577,trk,Track
578,trl,Trail
579,turn,Turn
580,upas,Underpass
581,vale,Vale
582,viad,Viaduct
583,view,View
584,vsta,Vista
585,walk,Walk
586,wkwy,Walkway
587,whrf,Wharf
588,wynd,Wynd
589,Ln,Lane
590,Vw,View
591,Av,Avenue
592,Lk,Lake
593,Pt,Point
594,Hl,Hill
595,Ro,Road
596,Al,Alley
597,al,Alley
598,Bnd,Bend
599,Is,Island
600,Dve,Drive
601,CRCT,Circuit
602,LA,Lane
